Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,8.150000,8.160000,7.950000,7.970000,7.581184,8771300
2019-10-02,7.850000,7.860000,7.680000,7.770000,7.394807,11928000
2019-10-03,7.790000,7.880000,7.680000,7.830000,7.451910,11837600
2019-10-04,7.820000,8.000000,7.800000,7.990000,7.604184,7540900
2019-10-07,8.030000,8.140000,7.850000,7.860000,7.480461,12934400
2019-10-08,7.930000,8.050000,7.850000,7.870000,7.489978,13913100
2019-10-09,7.980000,8.130000,7.870000,8.040000,7.651769,11038200
2019-10-10,8.050000,8.210000,8.030000,8.120000,7.727907,12982400
2019-10-11,8.240000,8.330000,8.210000,8.270000,7.870664,11330100
2019-10-14,8.240000,8.360000,8.210000,8.280000,7.880180,11773700
2019-10-15,8.280000,8.390000,8.210000,8.280000,7.880180,14731400
2019-10-16,8.210000,8.520000,8.180000,8.490000,8.080039,17481700
2019-10-17,8.600000,8.650000,8.350000,8.360000,7.956317,13264600
2019-10-18,8.120000,8.200000,8.070000,8.150000,7.978060,7101200
2019-10-21,8.110000,8.210000,8.040000,8.140000,7.968272,11719100
2019-10-22,8.240000,8.570000,8.210000,8.520000,8.340253,14075600
2019-10-23,8.550000,8.760000,8.550000,8.700000,8.516457,15571000
2019-10-24,8.730000,8.800000,8.610000,8.690000,8.506668,9041900
2019-10-25,8.740000,8.900000,8.720000,8.850000,8.663291,10992100
2019-10-28,8.990000,9.220000,8.960000,9.180000,8.986331,17527300
2019-10-29,9.130000,9.200000,9.020000,9.080000,8.888438,8709400
2019-10-30,8.930000,9.140000,8.810000,9.100000,8.908017,13632000
2019-10-31,8.840000,8.850000,8.640000,8.760000,8.575191,18334500
2019-11-01,8.850000,8.870000,8.600000,8.710000,8.526245,15637900
2019-11-04,8.770000,8.770000,8.620000,8.650000,8.471458,10823400
2019-11-05,8.660000,8.820000,8.640000,8.800000,8.618362,30134900
2019-11-06,8.620000,8.720000,8.530000,8.610000,8.432286,10882200
2019-11-07,8.570000,8.630000,8.540000,8.550000,8.373525,20541700
2019-11-08,8.330000,8.370000,8.150000,8.200000,8.030748,14986900
2019-11-11,8.160000,8.200000,8.110000,8.190000,8.020953,15636500
2019-11-12,8.050000,8.080000,7.970000,8.070000,7.903431,10845500
2019-11-13,7.970000,8.020000,7.870000,7.960000,7.795702,13573400
2019-11-14,7.940000,7.990000,7.870000,7.910000,7.746733,12337800
2019-11-15,7.960000,8.030000,7.950000,8.030000,7.864256,6620700
2019-11-18,7.950000,7.970000,7.800000,7.860000,7.697766,12160000
2019-11-19,7.830000,7.830000,7.750000,7.820000,7.658592,9621900
2019-11-20,7.780000,7.800000,7.700000,7.770000,7.609624,7144500
2019-11-21,7.880000,7.910000,7.780000,7.890000,7.727147,32366100
2019-11-22,7.920000,8.040000,7.920000,8.000000,7.834876,14472800
2019-11-25,7.990000,8.040000,7.900000,7.930000,7.766321,10409900
2019-11-26,7.790000,7.810000,7.630000,7.770000,7.609624,17544500
2019-11-27,7.770000,7.880000,7.660000,7.850000,7.687973,13436700
2019-11-29,7.820000,7.900000,7.810000,7.850000,7.687973,15957100
2019-12-02,7.930000,7.990000,7.910000,7.950000,7.785908,12013100
2019-12-03,8.010000,8.040000,7.940000,8.000000,7.839807,8650400
2019-12-04,8.050000,8.190000,8.030000,8.160000,7.996603,11491200
2019-12-05,8.250000,8.320000,8.200000,8.240000,8.075002,10853600
